,peak,pred_0,prob_0,pred_1,prob_1,pred_2,prob_2
110,3.54652,Glucose,0.9961615800857544,myo-Inositol,0.002949669025838375,Phenylacetate,0.0003846068284474313
111,3.56251,Glycine,0.9999973773956299,Putrescine,5.551090680455673e-07,Threonine,5.273868168842455e-07
112,3.58393,Threonine,0.9578104019165039,Glycine,0.03699041157960892,Glucose,0.004493902437388897
113,3.58687,Glycerol,0.9977542757987976,Ethanol,0.0010813206899911165,Serine,0.0002516296226531267
114,3.58968,Threonine,0.9651776552200317,Glycine,0.03366732597351074,Glucose,0.0005336907925084233
115,3.61063,Glycerol,0.9461460113525391,Ethanol,0.05239143222570419,Threonine,0.0008397490601055324
116,3.61446,Glycerol,0.9307925701141357,Threonine,0.04989029839634895,Ethanol,0.01195251289755106
117,3.61577,Glycerol,0.9412304162979126,Ethanol,0.04606233537197113,Threonine,0.011114194989204407
118,3.62572,Ethanol,0.6364642381668091,Glycerol,0.31978538632392883,Threonine,0.03328831493854523
119,3.65677,Ethanol,0.7639591097831726,N-Phenylacetylglycine,0.22868120670318604,Isoleucine,0.005476185120642185
120,3.66516,N-Phenylacetylglycine,0.7223867177963257,Ethanol,0.2400917112827301,2-Phenylpropionate,0.03505125269293785
121,3.67143,Isoleucine,0.7100229263305664,Ethanol,0.16309717297554016,N-Phenylacetylglycine,0.11141211539506912
122,3.67443,N-Phenylacetylglycine,0.9962933659553528,Ethanol,0.0024942324962466955,O-Acetylcholine,0.0002301850909134373
123,3.67652,Ethanol,0.6439366936683655,Isoleucine,0.24785636365413666,N-Phenylacetylglycine,0.037811409682035446
124,3.70548,Leucine,0.7994373440742493,"N,N-Dimethylglycine",0.1607922464609146,pi-Methylhistidine,0.03833729028701782
125,3.71661,pi-Methylhistidine,0.917280912399292,Glutamate,0.03784992918372154,Leucine,0.019904855638742447
126,3.71923,pi-Methylhistidine,0.7780740261077881,Glutamate,0.15420234203338623,N-Phenylacetylglycine,0.05283959209918976
127,3.72245,N-Phenylacetylglycine,0.9990968704223633,Glutamate,0.0003697171341627836,pi-Methylhistidine,0.0003354570653755218
128,3.72575,N-Phenylacetylglycine,0.8945218920707703,Glutamine,0.04717164859175682,Glutamate,0.03621380031108856
129,3.72788,Leucine,0.7274277210235596,"N,N-Dimethylglycine",0.13592815399169922,pi-Methylhistidine,0.06198190525174141
130,3.73334,N-Phenylacetylglycine,0.9944279193878174,Glutamine,0.0034540388733148575,Glutamate,0.0017767951358109713
131,3.74029,N-Phenylacetylglycine,0.9973515272140503,Glutamate,0.001303762779571116,Glutamine,0.0010885329684242606
132,3.7529,N-Phenylacetylglycine,0.8857449889183044,Alanine,0.08013543486595154,Glutamate,0.017532983794808388
133,3.75851,Arginine,0.8821349143981934,Glutamine,0.07787980139255524,N-Phenylacetylglycine,0.016721611842513084
134,3.76151,Alanine,0.3385346531867981,Glutamine,0.22735513746738434,Arginine,0.21784751117229462
135,3.76689,Arginine,0.9731130599975586,Glutamine,0.011180035769939423,Alanine,0.009169001132249832
136,3.77129,Glycerol,0.7408745884895325,Ornithine,0.1258646845817566,Alanine,0.10443318635225296
137,3.77367,Arginine,0.9671287536621094,Alanine,0.023896317929029465,Glutamine,0.005793353077024221
138,3.77548,Arginine,0.3531489670276642,Alanine,0.3295130729675293,Ornithine,0.14220446348190308
139,3.77895,Alanine,0.9965119957923889,Guanidoacetate,0.002429808024317026,Ornithine,0.0004960474907420576
140,3.78181,Guanidoacetate,0.9664341807365417,Alanine,0.027589967474341393,Arginine,0.00451523857191205
141,3.78809,Arginine,0.7811069488525391,Alanine,0.15001000463962555,Glutamine,0.024165036156773567
142,3.79072,Arginine,0.6760419607162476,Glutamine,0.3082679212093353,Alanine,0.008235950954258442
143,3.83885,Homocysteine,0.43811896443367004,Methionine,0.35215869545936584,Aspartate,0.16244728863239288
144,3.84069,Methionine,0.942876935005188,Homocysteine,0.030957605689764023,Serine,0.016845282167196274
145,3.89407,Glucose,0.9999576807022095,Betaine,2.9208302294136956e-05,Aspartate,6.331901204248425e-06
146,3.89662,Glucose,0.9999909400939941,Betaine,4.989089120499557e-06,Aspartate,2.1486225705302786e-06
147,3.90857,Glucose,0.9999765157699585,Betaine,1.474600958317751e-05,Tyrosine,4.008558335044654e-06
148,3.91107,Glucose,0.9999581575393677,Betaine,2.4803270207485184e-05,Tyrosine,7.5263674261805136e-06
149,3.9322,Creatine,0.9999091625213623,Glucose,2.3890537704573944e-05,Creatine phosphate,1.4346103853313252e-05
150,3.95148,Creatine phosphate,0.4843098521232605,Creatine,0.30859634280204773,Pantothenate,0.07587061822414398
151,4.11229,Lactate,0.9324398040771484,3-Hydroxybutyrate,0.06654812395572662,N-Methylhydantoin,0.0004835853760596365
152,4.12041,Lactate,0.9004247188568115,3-Hydroxybutyrate,0.09863333404064178,Proline,0.0007977347122505307
153,4.25498,Threonine,0.9999589920043945,Trigonelline,1.2716227502096444e-05,3-Hydroxybutyrate,7.066450507409172e-06
154,5.18316,Glucose,0.9999752044677734,Aspartate,5.876439900021069e-06,Tyrosine,3.8081834645709023e-06
155,5.23537,Glucose,0.9999830722808838,Tryptophan,2.4869441404007375e-06,ATP,2.209970716648968e-06
156,5.23978,Glucose,0.9999840259552002,Tryptophan,2.6162188078160398e-06,ATP,2.0650707028835313e-06
157,6.14269,ATP,1.0,Creatine,6.223343618216859e-09,Aspartate,3.015514504767225e-09
158,6.14458,ATP,1.0,Creatine,6.260238105681992e-09,Aspartate,5.118675261428507e-09
159,6.14956,ATP,1.0,Creatine,6.392007367850283e-09,Aspartate,3.4645590840653995e-09
160,6.89569,Tyrosine,0.985181450843811,Tyramine,0.01443388033658266,O-Acetylcholine,0.00010189544263994321
161,6.89819,Tyramine,0.9997703433036804,Tyrosine,0.00022226778673939407,"N,N-Dimethylglycine",1.7537695384817198e-06
162,6.90325,Tyramine,0.9998906850814819,Tyrosine,0.0001030185230774805,"N,N-Dimethylglycine",1.2590377309606993e-06
163,6.9057,Tyrosine,0.9938972592353821,Tyramine,0.005776674021035433,O-Acetylcholine,0.00011064886348322034
164,7.07574,Carnosine,0.989601194858551,Tyrosine,0.010149284265935421,Lysine,4.970283407601528e-05
165,7.18943,Tyrosine,0.9993533492088318,Tyramine,0.00046859029680490494,O-Acetylcholine,3.670728983706795e-05
166,7.19692,Tyramine,0.9993683695793152,Tyrosine,0.0005971414502710104,"N,N-Dimethylglycine",2.0551153284031898e-05
167,7.19942,Tyrosine,0.9970056414604187,Tyramine,0.0026901287492364645,Arginine,4.373634510557167e-05
168,7.32651,Phenylalanine,0.9928781390190125,imidazole,0.0070737735368311405,Tryptophan,1.7451953681302257e-05
169,7.33525,Phenylalanine,0.9396892786026001,imidazole,0.060213424265384674,Tryptophan,4.309856740292162e-05
170,7.37937,Phenylalanine,0.9999023675918579,Phenylacetate,8.124543819576502e-05,Threonine,4.619899755198276e-06
171,7.42153,Phenylalanine,0.999984860420227,Tryptophan,2.9326870389922988e-06,Phenylacetate,1.8717519196798094e-06
172,7.43035,Phenylalanine,0.9998743534088135,Phenylacetate,1.6785041225375608e-05,1-Methylnicotinamide,1.5620928024873137e-05
173,8.2732,ATP,0.9994530081748962,imidazole,0.000546980882063508,Tryptophan,8.503676873772292e-09
174,8.45514,ATP,0.9999822378158569,Formate,1.7817421394283883e-05,imidazole,5.2577107112483645e-08
